name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent,nba_ppg,nba_fgp
Chris McCullough,PF,SYRACUSE,16,28.1,9.3,6.9,0.478,1,0.563,2.3,0.5
Chris Paul,PG,WAKE,63,33.5,15,3.9,0.472,0.47,0.838,18.1,0.476
Christian Wood,PF,UNLV,63,23.3,10.4,6.8,0.477,0.261,0.747,2.7,0.522
Cody Zeller,C,INDIANA,72,29,16.1,7.3,0.592,0,0.756,10.3,0.571
Cole Aldrich,C,KANSAS,111,26.8,9.4,7.7,0.574,NA,0.729,1.7,0.523
Corey Brewer,SF,FLORIDA,108,27.2,11.3,4.3,0.48,0.356,0.708,4.5,0.422
Cory Joseph,PG,TEXAS,36,32.4,10.4,3.6,0.422,0.413,0.699,9.3,0.452
Courtney Lee,SG,WKENTUCKY,127,31.2,17.6,5.2,0.464,0.401,0.817,10.8,0.456
D'Angelo Russell,PG,OHIOST,35,33.9,19.3,5.7,0.449,0.411,0.756,15.6,0.405
D.J. Augustin,PG,TEXAS,73,36.5,16.9,2.9,0.443,0.402,0.808,7.9,0.377
Dahntay Jones,SF,RUTGERS,131,29.8,13.8,4.6,0.452,0.344,0.745,9,0.375
Damian Jones,C,VANDY,99,27.1,13.3,6.4,0.566,0.125,0.565,1.9,0.5
Damian Lillard,PG,WEBERST,104,33.6,18.6,4.3,0.446,0.39,0.867,27,0.444
Daniel Ochefu,C,VILLANOVA,73,23.7,9.6,8,0.635,0,0.688,1.3,0.444
Danny Green,SG,UNC,145,NA,9.4,4.1,0.455,0.375,0.845,7.3,0.392
Dante Cunningham,PF,VILLANOVA,139,NA,9.6,5.9,0.524,0.333,0.693,6.6,0.485
Danuel House,SG,TEXASAM,62,31.6,15.3,4.3,0.404,0.344,0.686,0,NA
Darrell Arthur,PF,KANSAS,78,21.9,11.3,5.5,0.541,0.118,0.676,6.4,0.442
Darren Collison,PG,UCLA,141,NA,11.6,2.3,0.478,0.439,0.85,13.2,0.476
Darrun Hilliard,SG,VILLANOVA,132,26.8,11.4,3,0.436,0.367,0.748,3.3,0.373
David Lee,PF,FLORIDA,127,25,11.3,6.8,0.581,0,0.681,7.3,0.59
David Nwaba,SG,CALPOLY,54,27.4,12,5.6,0.446,0.167,0.628,6,0.58
David West,C,XAVIER,126,33.4,16.9,10.4,0.531,0.327,0.757,4.6,0.536
DeAndre' Bembry,SF,STJOSEPHS,101,36.1,15.7,6.7,0.457,0.312,0.628,2.7,0.48
DeAndre Jordan,C,TEXASAM,35,20.1,7.9,6,0.617,NA,0.437,12.7,0.714
DeAndre Liggins,SG,KENTUCKY,100,24.6,5.8,3,0.407,0.332,0.643,2.5,0.387
Dejounte Murray,PG,WASHINGTON,34,33.5,16.1,6,0.416,0.288,0.663,3.4,0.431
Delon Wright,PG,UTAH,68,34.8,15,5.8,0.535,0.299,0.814,5.6,0.422
DeMar DeRozan,SG,USC,35,NA,13.9,5.7,0.523,0.167,0.646,27.3,0.467
DeMarcus Cousins,C,KENTUCKY,38,23.5,15.1,9.8,0.558,0.167,0.604,27,0.452
