name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent,nba_ppg,nba_fgp
Michael Gbinije,SG,DUKE,120,25.5,9.8,3.1,0.454,0.387,0.639,0.4,0.1
Michael Kidd-Gilchrist,SF,KENTUCKY,40,31.1,11.9,7.4,0.491,0.255,0.745,9.2,0.477
Mike Conley,PG,OHIOST,39,31.6,11.3,3.4,0.518,0.304,0.694,20.5,0.46
Mike Dunleavy,SF,DUKE,104,28.8,13.2,5.8,0.475,0.371,0.698,5.2,0.423
Mike Miller,SF,FLORIDA,65,26.7,13.3,6,0.483,0.345,0.718,1.4,0.391
Mike Muscala,C,BUCKNELL,133,28.7,15.3,8.2,0.501,0.313,0.819,6.2,0.504
Mike Scott,PF,VIRGINIA,130,30.1,11.8,7.3,0.521,0.364,0.775,2.5,0.288
Mike Tobey,C,VIRGINIA,71,16.4,7.1,4.7,0.559,0.182,0.69,1,0.25
Miles Plumlee,C,DUKE,135,17.7,4.8,4.8,0.557,1,0.625,2.5,0.478
Montrezl Harrell,C,LOUISVILLE,112,26.4,11.6,6.9,0.586,0.275,0.533,9.1,0.652
Myles Turner,C,TEXAS,34,22.2,10.1,6.5,0.455,0.274,0.839,14.5,0.511
Nerlens Noel,C,KENTUCKY,24,31.9,10.5,9.5,0.59,NA,0.529,8.7,0.595
Nick Collison,PF,KANSAS,142,27.4,14.8,8,0.562,0.359,0.624,1.7,0.609
Nick Young,SG,USC,96,31.1,15.5,5.1,0.484,0.368,0.764,13.2,0.43
Nik Stauskas,SG,MICHIGAN,75,32.9,14.1,2.9,0.467,0.441,0.832,9.5,0.396
Nikola Vucevic,C,USC,87,27.7,11.1,8,0.509,0.303,0.746,14.6,0.468
Noah Vonleh,PF,INDIANA,30,26.5,11.3,9,0.523,0.485,0.716,4.4,0.481
Norman Powell,SG,UCLA,141,25.2,9.8,3,0.461,0.314,0.746,8.4,0.449
Norris Cole,PG,CLEVST,140,35,14.1,3.2,0.435,0.321,0.826,3.3,0.308
Otto Porter,SF,GEORGETOWN,64,32.5,12.8,7.1,0.498,0.355,0.751,13.4,0.516
P.J. Tucker,SF,TEXAS,87,28.9,13.4,8.2,0.526,0.5,0.711,6.7,0.413
Pascal Siakam,PF,NMSTATE,68,32.7,16.6,9.7,0.551,0.176,0.711,4.2,0.502
Pat Connaughton,SG,NOTREDAME,139,32.3,10.5,5.9,0.45,0.386,0.777,2.5,0.514
Patricio Garino,SG,GEORGEWASH,73,31.8,13.3,4.7,0.519,0.392,0.716,0,0
Patrick Beverley,SG,ARKANSAS,70,NA,13,5.5,0.42,0.382,0.73,9.5,0.42
Patrick McCaw,SG,UNLV,65,31.7,12.2,4.2,0.439,0.367,0.753,4,0.433
Patrick Patterson,PF,KENTUCKY,97,33,16.1,8.2,0.585,0.329,0.734,6.8,0.401
Patty Mills,PG,STMARYSCA,58,NA,16.4,2.2,0.415,0.331,0.806,9.5,0.44
Paul George,SF,FRESNOST,63,33.2,15.5,6.7,0.447,0.396,0.803,23.7,0.461
Paul Millsap,PF,LATECH,92,35.2,18.6,12.7,0.577,0.375,0.62,18.1,0.442
Paul Pierce,SF,KANSAS,108,26.8,16.4,6.3,0.481,0.355,0.697,3.2,0.4
Pierre Jackson,PG,BAYLOR,74,32.8,16.7,3.3,0.441,0.379,0.808,4.4,0.333
Quincy Acy,PF,BAYLOR,139,27.9,9.8,6,0.602,0.429,0.708,5.8,0.412
Quinn Cook,PG,DUKE,143,28.2,11,2.7,0.432,0.375,0.853,5.6,0.5
R.J. Hunter,SG,GEORGIAST,99,34.7,18.4,4.8,0.423,0.354,0.853,0,0
Rajon Rondo,PG,KENTUCKY,68,28.1,9.6,4.5,0.493,0.283,0.577,7.8,0.408
Rakeem Christmas,PF,SYRACUSE,142,22,7.4,5.3,0.56,0,0.681,2,0.442
Ramon Sessions,PG,NEVADA,97,29.2,8.8,4.2,0.417,0.313,0.74,6.2,0.38
Randy Foye,SG,VILLANOVA,131,31.3,15,4.8,0.399,0.329,0.781,5.2,0.363
Rashad Vaughn,SG,UNLV,23,32.3,17.8,4.8,0.439,0.383,0.694,3.5,0.365
Raymond Felton,PG,UNC,101,33.9,12.5,4.1,0.423,0.375,0.731,6.7,0.43
Reggie Bullock,SF,UNC,100,24.6,9.9,5,0.439,0.387,0.72,4.5,0.422
Reggie Jackson,PG,BOSTONCOLL,99,32.2,12.7,4.4,0.465,0.351,0.753,14.5,0.419
Reggie Williams,SF,VMI,112,NA,22.8,7.3,0.498,0.302,0.703,4.5,0.348
Richard Jefferson,SF,ARIZONA,84,26.3,11.2,5,0.49,0.368,0.718,5.7,0.446
Richaun Holmes,C,BOWLGREEN,95,26.5,11.5,6.9,0.554,0.353,0.697,9.8,0.558
Robert Covington,SF,TENNST,118,30,14.8,7.4,0.476,0.422,0.802,12.9,0.399
Robin Lopez,C,STANFORD,67,24.3,9,5.6,0.511,0.5,0.612,10.4,0.493
Rodney Hood,SG,MISSST,67,32.8,13.3,4.3,0.455,0.396,0.773,12.7,0.408
Rodney McGruder,SG,KANSASST,135,27.4,11.7,4.8,0.452,0.381,0.759,6.4,0.413
Rodney Stuckey,PG,EWASHINGTN,59,33.1,24.4,4.7,0.472,0.317,0.806,7.2,0.373
Ron Baker,SG,WICHITAST,70,32.2,14.4,4.6,0.429,0.367,0.776,4.1,0.378
Rondae Hollis-Jefferson,SF,ARIZONA,76,27,10.2,6.3,0.496,0.205,0.697,8.7,0.434
Ronnie Price,PG,NICHOLLS,114,31.2,17.8,3.5,0.417,0.345,0.788,1,0.167
Roy Hibbert,C,GEORGETOWN,136,23.3,10.9,5.9,0.603,1,0.68,4.6,0.544
Rudy Gay,SF,UCONN,64,29.8,13.6,5.9,0.461,0.378,0.721,18.7,0.455
Russell Westbrook,PG,UCLA,75,21.9,8.3,2.4,0.464,0.354,0.685,31.6,0.425
Ryan Anderson,PF,CALIFORNIA,66,33,18.7,9,0.484,0.396,0.841,13.6,0.418
Ryan Kelly,PF,DUKE,126,19.3,7.5,3.7,0.46,0.379,0.805,1.6,0.286
Sam Dekker,PF,WISCONSIN,113,27.9,12.1,5,0.493,0.348,0.695,6.5,0.473
Sean Kilpatrick,SG,CINCY,140,30.8,15.3,4.3,0.419,0.347,0.78,13.1,0.415
Semaj Christon,PG,XAVIER,64,34.8,16.2,2.8,0.462,0.338,0.67,2.9,0.345
Seth Curry,PG,LIBERTY,141,29.1,14.9,2.8,0.431,0.394,0.827,12.8,0.481
Shabazz Muhammad,SF,UCLA,32,30.8,17.9,5.2,0.443,0.377,0.711,9.9,0.482
Shabazz Napier,PG,UCONN,143,32.3,13.7,4,0.411,0.375,0.813,4.1,0.399
Shawn Long,C,ULALA,68,29.3,17.6,11.1,0.532,0.319,0.671,8.2,0.56
Sheldon Mac,SG,MIAMIFL,73,33.3,15.3,4,0.493,0.381,0.832,3,0.4
Shelvin Mack,PG,BUTLER,108,31.5,14.1,4.2,0.419,0.357,0.755,7.8,0.446
Skal Labissiere,PF,KENTUCKY,36,15.8,6.6,3.1,0.516,0,0.661,8.8,0.537
Solomon Hill,SF,ARIZONA,139,29,10.3,5.6,0.481,0.375,0.745,7,0.383
Spencer Dinwiddie,PG,COLORADO,86,30.1,13,3.3,0.42,0.386,0.83,7.3,0.444
Spencer Hawes,PF,WASHINGTON,31,28.9,14.9,6.4,0.532,0.333,0.755,6.2,0.484
Stanley Johnson,SF,ARIZONA,38,28.4,13.8,6.5,0.446,0.371,0.742,4.4,0.353
Stephen Curry,PG,DAVIDSON,104,NA,25.3,4.5,0.467,0.412,0.876,25.3,0.468
Stephen Zimmerman,C,UNLV,26,26.2,10.5,8.7,0.477,0.294,0.624,1.2,0.323
Steve Novak,PF,MARQUETTE,126,27,12.4,4.2,0.465,0.461,0.931,0.6,0.286
Steven Adams,C,PITT,32,23.4,7.2,6.3,0.571,NA,0.443,11.3,0.571
T.J. McConnell,PG,DUQUESNE,139,31.8,10.2,3.9,0.49,0.38,0.749,6.9,0.461
T.J. Warren,SF,NCSTATE,70,31.2,18.5,5.7,0.555,0.315,0.654,14.4,0.495
Taj Gibson,PF,USC,105,NA,12.4,8.5,0.58,NA,0.629,10.8,0.515
Tarik Black,C,MEMPHIS,135,20.7,8.4,4.7,0.614,0,0.555,5.7,0.51
Taurean Waller-Prince,SF,BAYLOR,129,20.2,10.2,4.2,0.46,0.376,0.718,5.7,0.4
Terrence Jones,PF,KENTUCKY,76,30.4,14,8,0.467,0.328,0.638,10.8,0.47
Terrence Ross,SF,WASHINGTON,69,24.4,12.3,4.7,0.453,0.364,0.764,11,0.437
Terry Rozier,PG,LOUISVILLE,73,26.8,12,4.3,0.408,0.331,0.772,5.5,0.367
Thaddeus Young,PF,GATECH,31,29.6,14.4,4.9,0.478,0.419,0.743,11,0.527
Thomas Robinson,PF,KANSAS,105,18.7,9.8,7.3,0.525,0.5,0.606,5,0.536
Tim Frazier,PG,PENNST,135,30.6,11.4,3.9,0.418,0.31,0.774,7.1,0.403
Tim Hardaway,SG,MICHIGAN,107,33.3,14.3,4.1,0.425,0.343,0.724,14.5,0.455
Tim Quarterman,SG,LSU,66,31.2,11.3,4.9,0.421,0.328,0.673,1.9,0.448
Tobias Harris,PF,TENNESSEE,34,29.2,15.3,7.3,0.46,0.303,0.753,16.1,0.481
Toney Douglas,PG,AUBURN,130,NA,16.8,3.8,0.442,0.376,0.802,4.9,0.368
Tony Allen,SG,BUTLERCOCC,99,31,15.6,5.7,0.488,0.352,0.658,9.1,0.461
Tony Snell,SG,NMEXICO,104,24.8,9.2,2.4,0.421,0.38,0.821,8.5,0.455
Treveon Graham,SG,VCU,140,25.4,13.4,5.8,0.432,0.354,0.691,2.1,0.475
Trevor Ariza,SF,UCLA,25,31.6,11.6,6.5,0.426,0.237,0.504,11.7,0.409
Trevor Booker,PF,CLEMSON,134,30.8,12.9,7.9,0.559,0.324,0.624,10,0.516
Trey Burke,PG,MICHIGAN,73,35.7,16.9,3.3,0.45,0.367,0.777,5,0.455
Trey Lyles,PF,KENTUCKY,36,23,8.7,5.2,0.488,0.138,0.735,6.2,0.362
Tristan Thompson,C,TEXAS,36,30.7,13.1,7.8,0.546,NA,0.487,8.1,0.6
Troy Daniels,SG,VCU,125,16.9,7.3,2.1,0.389,0.386,0.782,8.2,0.374
Troy Williams,SF,INDIANA,67,26.8,13.1,6.6,0.526,0.364,0.713,6.2,0.437
Ty Lawson,PG,UNC,105,NA,13.1,2.9,0.517,0.403,0.78,9.9,0.454
Tyler Ennis,PG,SYRACUSE,34,35.7,12.9,3.4,0.411,0.353,0.765,4.3,0.433
Tyler Johnson,PG,FRESNOST,128,27.6,10.5,4.8,0.456,0.372,0.716,13.7,0.433
Tyler Ulis,PG,KENTUCKY,72,30.1,11.3,2.4,0.427,0.371,0.846,7.3,0.421
Tyler Zeller,C,UNC,117,25.3,12.8,6.7,0.543,0,0.775,3.5,0.494
Tyreke Evans,SF,MEMPHIS,37,NA,17.1,5.4,0.455,0.274,0.711,10.3,0.405
Tyus Jones,PG,DUKE,39,33.9,11.8,3.5,0.417,0.379,0.889,3.5,0.414
Udonis Haslem,C,FLORIDA,130,24.9,13.7,6.4,0.584,0,0.666,1.9,0.478
Victor Oladipo,SG,INDIANA,104,24.6,10.7,5.2,0.538,0.338,0.716,15.9,0.442
Vince Carter,SF,UNC,103,23,12.3,4.5,0.547,0.368,0.705,8,0.394
Wade Baldwin,PG,VANDY,68,29.6,11.6,4.1,0.431,0.422,0.8,3.2,0.313
Wayne Ellington,SG,UNC,115,NA,14.7,4.1,0.463,0.397,0.809,10.5,0.416
Wayne Selden,SG,KANSAS,74,29.6,11.6,3.1,0.435,0.381,0.633,5.1,0.431
Wesley Johnson,SF,IOWAST,93,35,13.9,7,0.454,0.349,0.768,2.7,0.365
Wesley Matthews,SG,MARQUETTE,127,NA,13.2,4.9,0.444,0.341,0.799,13.5,0.393
Will Barton,SG,MEMPHIS,70,32.9,15.2,6.5,0.471,0.299,0.733,13.7,0.443
Willie Cauley-Stein,C,KENTUCKY,105,24.5,8,6.2,0.593,NA,0.508,8.1,0.53
Willie Reed,C,STLOUIS,67,24.7,10.2,6.3,0.574,NA,0.5,5.3,0.568
Wilson Chandler,SF,DEPAUL,59,31.1,12.9,7.1,0.445,0.303,0.659,15.7,0.461
Yogi Ferrell,PG,INDIANA,69,34.8,16.8,3.5,0.449,0.418,0.843,10,0.406
Zach LaVine,SG,UCLA,37,24.4,9.4,2.5,0.441,0.375,0.691,18.9,0.459
Zach Randolph,PF,MICHIGANST,33,19.8,10.8,6.7,0.587,0,0.635,14.1,0.449
