name,school,games,pts,games.1,mpg,pts.1,reb,ast,fgpercent,x3ppercent,ftpercent
Damian Jones,VANDY,99,13.3,99,27.1,13.3,6.4,0.7,.566,.125,.565
Derrick Jones,UNLV,30,11.5,30,21.5,11.5,4.5,0.8,.589,.205,.594
James Jones,MIAMIFL,122,11.1,122,27.5,11.1,5.0,1.2,.426,.383,.831
Terrence Jones,KENTUCKY,76,14.0,76,30.4,14.0,8.0,1.5,.467,.328,.638
Tyus Jones,DUKE,39,11.8,39,33.9,11.8,3.5,5.6,.417,.379,.889
DeAndre Jordan,TEXASAM,35,7.9,35,20.1,7.9,6.0,0.4,.617,,.437
Cory Joseph,TEXAS,36,10.4,36,32.4,10.4,3.6,3.0,.422,.413,.699
Frank Kaminsky,WISCONSIN,144,10.1,144,20.4,10.1,4.6,1.3,.522,.369,.763
Ryan Kelly,DUKE,126,7.5,126,19.3,7.5,3.7,0.9,.460,.379,.805
Michael Kidd-Gilchrist,KENTUCKY,40,11.9,40,31.1,11.9,7.4,1.9,.491,.255,.745
Sean Kilpatrick,CINCY,140,15.3,140,30.8,15.3,4.3,2.0,.419,.347,.780
Brandon Knight,KENTUCKY,38,17.3,38,35.9,17.3,4.0,4.2,.423,.377,.795
Kyle Korver,CREIGHTON,128,14.1,128,27.7,14.1,5.2,2.3,.472,.453,.891
Kosta Koufos,OHIOST,37,14.4,37,27.1,14.4,6.7,0.5,.508,.349,.680
Skal Labissiere,KENTUCKY,36,6.6,36,15.8,6.6,3.1,0.3,.516,.000,.661
Jeremy Lamb,UCONN,75,14.1,75,32.1,14.1,4.7,1.7,.482,.348,.806
Zach LaVine,UCLA,37,9.4,37,24.4,9.4,2.5,1.8,.441,.375,.691
Ty Lawson,UNC,105,13.1,105,,13.1,2.9,5.8,.517,.403,.780
Jake Layman,MARYLAND,141,10.2,141,27.9,10.2,4.8,1.1,.445,.362,.759
Courtney Lee,WKENTUCKY,127,17.6,127,31.2,17.6,5.2,2.2,.464,.401,.817
David Lee,FLORIDA,127,11.3,127,25.0,11.3,6.8,2.0,.581,.000,.681
Alex Len,MARYLAND,60,9.7,60,24.5,9.7,7.0,0.8,.538,.111,.663
Kawhi Leonard,SANDIEGOST,70,14.1,70,31.9,14.1,10.2,2.2,.449,.250,.744
Meyers Leonard,ILLINOIS,65,7.7,65,19.8,7.7,4.7,0.7,.567,.083,.729
Jon Leuer,WISCONSIN,123,11.2,123,31.6,11.2,4.5,1.1,.482,.368,.723
Caris LeVert,MICHIGAN,103,10.4,103,26.4,10.4,3.5,2.7,.434,.401,.770
DeAndre Liggins,KENTUCKY,100,5.8,100,24.6,5.8,3.0,2.1,.407,.332,.643
Damian Lillard,WEBERST,104,18.6,104,33.6,18.6,4.3,3.5,.446,.390,.867
Jeremy Lin,HARVARD,115,12.9,115,32.2,12.9,4.3,3.5,.481,.333,.733
Shawn Long,ULALA,68,17.6,68,29.3,17.6,11.1,1.4,.532,.319,.671
Kevon Looney,UCLA,36,11.6,36,30.9,11.6,9.2,1.4,.470,.415,.626
Brook Lopez,STANFORD,53,16.0,53,28.0,16.0,7.1,1.1,.480,.143,.764
Robin Lopez,STANFORD,67,9.0,67,24.3,9.0,5.6,0.8,.511,.500,.612
Kevin Love,UCLA,39,17.5,39,29.6,17.5,10.6,1.9,.559,.354,.767
Kyle Lowry,VILLANOVA,57,9.5,57,26.7,9.5,3.8,3.0,.449,.325,.737
John Lucas III,BAYLOR,126,14.9,126,34.8,14.9,2.5,4.2,.445,.383,.869
Trey Lyles,KENTUCKY,36,8.7,36,23.0,8.7,5.2,1.1,.488,.138,.735
Sheldon Mac,MIAMIFL,73,15.3,73,33.3,15.3,4.0,1.8,.493,.381,.832
Shelvin Mack,BUTLER,108,14.1,108,31.5,14.1,4.2,3.3,.419,.357,.755
Jarell Martin,LSU,65,13.7,65,30.7,13.7,6.9,1.4,.494,.308,.689
Wesley Matthews,MARQUETTE,127,13.2,127,,13.2,4.9,2.1,.444,.341,.799
Luc Mbah a Moute,UCLA,107,8.7,107,29.5,8.7,7.2,1.6,.503,.215,.668
James Michael McAdoo,UNC,108,11.4,108,25.0,11.4,5.9,1.0,.447,.000,.569
Patrick McCaw,UNLV,65,12.2,65,31.7,12.2,4.2,3.3,.439,.367,.753
C.J. McCollum,LEHIGH,111,21.3,111,32.9,21.3,6.3,2.7,.439,.377,.825
T.J. McConnell,DUQUESNE,139,10.2,139,31.8,10.2,3.9,5.4,.490,.380,.749
Chris McCullough,SYRACUSE,16,9.3,16,28.1,9.3,6.9,1.1,.478,1.000,.563
K.J. McDaniels,CLEMSON,94,11.0,94,24.3,11.0,4.8,0.9,.450,.313,.767
Doug McDermott,CREIGHTON,145,21.7,145,31.5,21.7,7.5,1.3,.550,.458,.831
JaVale McGee,NEVADA,66,8.7,66,18.7,8.7,4.8,0.3,.542,.356,.514
Rodney McGruder,KANSASST,135,11.7,135,27.4,11.7,4.8,1.4,.452,.381,.759
Ben McLemore,KANSAS,37,15.9,37,32.2,15.9,5.2,2.0,.495,.420,.870
Jordan McRae,TENNESSEE,114,13.3,114,27.1,13.3,3.3,1.8,.417,.343,.769
Josh McRoberts,DUKE,69,10.8,69,29.7,10.8,6.5,2.4,.540,.278,.664
Jodie Meeks,KENTUCKY,81,15.4,81,,15.4,3.0,1.6,.436,.386,.890
Jordan Mickey,LSU,65,14.0,65,33.8,14.0,8.8,1.2,.518,.071,.669
Khris Middleton,TEXASAM,87,11.3,87,26.0,11.3,4.6,2.0,.431,.321,.768
Mike Miller,FLORIDA,65,13.3,65,26.7,13.3,6.0,2.3,.483,.345,.718
Patty Mills,STMARYSCA,58,16.4,58,,16.4,2.2,3.7,.415,.331,.806
Elijah Millsap,ULALA,87,12.8,87,33.1,12.8,7.5,1.4,.422,.291,.629
Paul Millsap,LATECH,92,18.6,92,35.2,18.6,12.7,0.9,.577,.375,.620
Greg Monroe,GEORGETOWN,65,14.5,65,34.2,14.5,8.2,3.2,.543,.273,.677
E'Twaun Moore,PURDUE,140,15.3,140,32.7,15.3,4.4,2.9,.440,.380,.729
Marcus Morris,KANSAS,109,12.6,109,26.6,12.6,6.2,1.3,.555,.358,.660
Markieff Morris,KANSAS,109,8.5,109,21.1,8.5,6.1,1.2,.553,.404,.653
Anthony Morrow,GATECH,123,11.4,123,23.6,11.4,3.3,1.0,.437,.421,.867
Shabazz Muhammad,UCLA,32,17.9,32,30.8,17.9,5.2,0.8,.443,.377,.711
Dejounte Murray,WASHINGTON,34,16.1,34,33.5,16.1,6.0,4.4,.416,.288,.663
Jamal Murray,KENTUCKY,36,20.0,36,35.2,20.0,5.2,2.2,.454,.408,.783
Mike Muscala,BUCKNELL,133,15.3,133,28.7,15.3,8.2,1.6,.501,.313,.819
Larry Nance,WYOMING,123,11.3,123,29.5,11.3,6.6,1.4,.521,.308,.771
Shabazz Napier,UCONN,143,13.7,143,32.3,13.7,4.0,4.5,.411,.375,.813
Maurice Ndour,OHIO,66,14.8,66,32.3,14.8,7.6,1.6,.498,.388,.757
Gary Neal,LASALLE,106,21.7,106,,21.7,3.9,2.6,.427,.359,.827
Jameer Nelson,STJOSEPHS,125,16.8,125,34.5,16.8,4.6,5.7,.454,.365,.786
Georges Niang,IOWAST,138,16.1,138,29.8,16.1,5.2,3.1,.500,.375,.763
Andrew Nicholson,STBONNY,123,17.1,123,31.4,17.1,7.2,0.7,.575,.377,.720
Joakim Noah,FLORIDA,108,10.5,108,21.1,10.5,6.4,1.7,.616,.500,.684
Nerlens Noel,KENTUCKY,24,10.5,24,31.9,10.5,9.5,1.6,.590,,.529
Steve Novak,MARQUETTE,126,12.4,126,27.0,12.4,4.2,1.0,.465,.461,.931
David Nwaba,CALPOLY,54,12.0,54,27.4,12.0,5.6,2.6,.446,.167,.628
Johnny O'Bryant,LSU,91,12.7,91,27.1,12.7,7.7,1.3,.467,.222,.619
Kyle O'Quinn,NORFOLKST,129,12.5,129,30.9,12.5,8.5,0.9,.553,.261,.685
Daniel Ochefu,VILLANOVA,73,9.6,73,23.7,9.6,8.0,1.6,.635,.000,.688
Jahlil Okafor,DUKE,38,17.3,38,30.1,17.3,8.5,1.3,.664,,.510
Victor Oladipo,INDIANA,104,10.7,104,24.6,10.7,5.2,1.7,.538,.338,.716
Kelly Olynyk,GONZAGA,101,8.9,101,17.2,8.9,4.6,1.1,.594,.333,.709
Arinze Onuaku,SYRACUSE,134,9.2,134,22.8,9.2,6.0,0.5,.648,,.395
Chinanu Onuaku,LOUISVILLE,66,6.2,66,21.0,6.2,6.4,1.1,.619,.000,.547
Kelly Oubre,KANSAS,36,9.3,36,21.0,9.3,5.0,0.8,.444,.358,.718
Jabari Parker,DUKE,35,19.1,35,30.7,19.1,8.7,1.2,.473,.358,.748
Chandler Parsons,FLORIDA,142,10.2,142,32.6,10.2,6.0,2.4,.477,.337,.611
Lamar Patterson,PITT,149,9.5,149,24.3,9.5,3.9,2.9,.435,.369,.723
Patrick Patterson,KENTUCKY,97,16.1,97,33.0,16.1,8.2,1.5,.585,.329,.734
Chris Paul,WAKE,63,15.0,63,33.5,15.0,3.9,6.3,.472,.470,.838
Adreian Payne,MICHIGANST,138,8.9,138,20.0,8.9,5.3,0.6,.526,.409,.755
Cameron Payne,MURRAYST,69,18.5,69,32.4,18.5,3.7,5.7,.432,.359,.781
Elfrid Payton,ULALA,100,14.3,100,31.6,14.3,5.1,4.9,.485,.268,.611
Gary Payton,OREGONST,63,14.7,63,35.3,14.7,7.7,4.1,.485,.302,.652
Paul Pierce,KANSAS,108,16.4,108,26.8,16.4,6.3,2.2,.481,.355,.697
Marshall Plumlee,DUKE,75,5.2,75,19.7,5.2,5.3,0.7,.704,1.000,.598
Mason Plumlee,DUKE,141,9.8,141,25.9,9.8,7.7,1.5,.574,.200,.583
Miles Plumlee,DUKE,135,4.8,135,17.7,4.8,4.8,0.3,.557,1.000,.625
Jakob Poeltl,UTAH,70,13.3,70,26.9,13.3,8.0,1.3,.658,.000,.605
Otto Porter,GEORGETOWN,64,12.8,64,32.5,12.8,7.1,2.1,.498,.355,.751
Bobby Portis,ARKANSAS,70,15.0,70,28.5,15.0,7.9,1.3,.526,.365,.737
Dwight Powell,STANFORD,136,10.8,136,26.2,10.8,6.3,1.8,.464,.289,.722
Norman Powell,UCLA,141,9.8,141,25.2,9.8,3.0,1.5,.461,.314,.746
Alex Poythress,KENTUCKY,39,9.3,39,22.9,9.3,5.6,0.3,.563,.233,.724
Ronnie Price,NICHOLLS,114,17.8,114,31.2,17.8,3.5,2.8,.417,.345,.788
Tim Quarterman,LSU,66,11.3,66,31.2,11.3,4.9,3.8,.421,.328,.673
Chasson Randle,STANFORD,37,19.6,37,36.4,19.6,3.3,3.0,.403,.363,.877
Julius Randle,KENTUCKY,40,15.0,40,30.8,15.0,10.4,1.4,.501,.167,.706
Zach Randolph,MICHIGANST,33,10.8,33,19.8,10.8,6.7,1.0,.587,.000,.635
J.J. Redick,DUKE,139,19.9,139,34.0,19.9,2.7,2.2,.433,.406,.912
