name,school,games,pts,games.1,mpg,pts.1,reb,ast,fgpercent,x3ppercent,ftpercent
Briante Weber,VCU,127,6.8,127,23.3,6.8,3.3,3.0,.426,.274,.769
David West,XAVIER,126,16.9,126,33.4,16.9,10.4,2.1,.531,.327,.757
Russell Westbrook,UCLA,75,8.3,75,21.9,8.3,2.4,2.5,.464,.354,.685
Isaiah Whitehead,SETONHALL,56,15.8,56,30.5,15.8,3.7,4.5,.375,.359,.757
Hassan Whiteside,MARSHALL,34,13.1,34,26.1,13.1,8.9,0.3,.524,.600,.588
Andrew Wiggins,KANSAS,35,17.1,35,32.8,17.1,5.9,1.5,.448,.341,.775
C.J. Wilcox,WASHINGTON,131,14.4,131,28.5,14.4,3.4,1.6,.433,.389,.840
Alan Williams,UCSB,112,15.5,112,27.0,15.5,10.0,1.0,.492,.000,.706
Deron Williams,ILLINOIS,101,11.0,101,31.7,11.0,3.3,5.9,.422,.374,.685
Derrick Williams,ARIZONA,69,17.8,69,29.2,17.8,7.7,0.9,.586,.511,.719
Marvin Williams,UNC,36,11.3,36,22.2,11.3,6.6,0.7,.506,.432,.847
Reggie Williams,VMI,112,22.8,112,,22.8,7.3,3.4,.498,.302,.703
Troy Williams,INDIANA,67,13.1,67,26.8,13.1,6.6,2.0,.526,.364,.713
Kyle Wiltjer,GONZAGA,74,18.6,74,30.5,18.6,6.3,1.7,.514,.449,.828
Justise Winslow,DUKE,39,12.6,39,29.1,12.6,6.5,2.1,.486,.418,.641
Jeff Withey,KANSAS,117,8.0,117,19.8,8.0,5.4,0.6,.568,1.000,.726
Christian Wood,UNLV,63,10.4,63,23.3,10.4,6.8,0.8,.477,.261,.747
Metta World Peace,STJOHNS,69,13.1,69,34.2,13.1,6.3,3.2,.445,.355,.589
Brandan Wright,UNC,37,14.7,37,27.4,14.7,6.2,1.0,.646,,.567
Delon Wright,UTAH,68,15.0,68,34.8,15.0,5.8,5.2,.535,.299,.814
James Young,KENTUCKY,40,14.3,40,32.4,14.3,4.3,1.7,.407,.349,.706
Joe Young,HOUSTON,132,17.5,132,32.8,17.5,3.6,2.7,.453,.390,.886
Nick Young,USC,96,15.5,96,31.1,15.5,5.1,1.4,.484,.368,.764
Thaddeus Young,GATECH,31,14.4,31,29.6,14.4,4.9,2.0,.478,.419,.743
Cody Zeller,INDIANA,72,16.1,72,29.0,16.1,7.3,1.3,.592,.000,.756
Tyler Zeller,UNC,117,12.8,117,25.3,12.8,6.7,0.6,.543,.000,.775
Stephen Zimmerman,UNLV,26,10.5,26,26.2,10.5,8.7,0.8,.477,.294,.624
